mode,threads,files,csum,duration_us
concurrent,10,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,822148
concurrent,60,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,807897
pipelined,60,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,598724
concurrent,70,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,858442
pipelined,70,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,610667
concurrent,80,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,762374
pipelined,80,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,543271
concurrent,90,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,744109
pipelined,90,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,435584
concurrent,100,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,763833
pipelined,100,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,508075
pipelined,10,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,728731
concurrent,10,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,736173
pipelined,10,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,686893
concurrent,20,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,589255
pipelined,20,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,544339
concurrent,30,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,774897
pipelined,30,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,603660
concurrent,40,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,830355
pipelined,40,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,898121
concurrent,50,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,770707
pipelined,50,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,557272
concurrent,20,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,530877
concurrent,60,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,738069
pipelined,60,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,357554
concurrent,70,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,723917
pipelined,70,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,448411
concurrent,80,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,783419
pipelined,80,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,494124
concurrent,90,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,791251
pipelined,90,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,469327
concurrent,100,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,790765
pipelined,100,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,530259
pipelined,20,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,697668
concurrent,10,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,762090
pipelined,10,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,709471
concurrent,20,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,644446
pipelined,20,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,549614
concurrent,30,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,666697
pipelined,30,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,545350
concurrent,40,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,732724
pipelined,40,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,497721
concurrent,50,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,869296
pipelined,50,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,478178
concurrent,30,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,770591
concurrent,60,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,792560
pipelined,60,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,506187
concurrent,70,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,804045
pipelined,70,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,414409
concurrent,80,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,1069811
pipelined,80,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,347612
concurrent,90,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,826108
pipelined,90,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,561699
concurrent,100,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,814732
pipelined,100,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,564855
pipelined,30,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,564303
concurrent,10,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,734074
pipelined,10,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,661533
concurrent,20,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,750947
pipelined,20,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,519342
concurrent,30,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,707426
pipelined,30,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,407332
concurrent,40,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,1168995
pipelined,40,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,520003
concurrent,50,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,763503
pipelined,50,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,510982
concurrent,40,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,773485
concurrent,60,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,721679
pipelined,60,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,487529
concurrent,70,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,831823
pipelined,70,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,540625
concurrent,80,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,759479
pipelined,80,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,499949
concurrent,90,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,715271
pipelined,90,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,549818
concurrent,100,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,755504
pipelined,100,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,582618
pipelined,40,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,516515
concurrent,10,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,800485
pipelined,10,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,733200
concurrent,20,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,713150
pipelined,20,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,571216
concurrent,30,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,753639
pipelined,30,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,522148
concurrent,40,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,695639
pipelined,40,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,537964
concurrent,50,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,921436
pipelined,50,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,578348
concurrent,50,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,707237
concurrent,60,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,709884
pipelined,60,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,561005
concurrent,70,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,703863
pipelined,70,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,599400
concurrent,80,500,f1225e4942feb759fbc0996bf77bb096184c9968689dde8f52f823a6af0e614f,797986
